Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tumor_or_normal
SRR8550620,RNA-Seq,202,15704037520,PRJNA521512,SAMN10891642,8685182362,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352534,GSM3595923,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:03:00Z,1,GSM3595923,gastric mucosa,SRP184693,adenocarcinoma
SRR8550621,RNA-Seq,202,12636106364,PRJNA521512,SAMN10891640,6189527331,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352535,GSM3595924,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595924,gastric mucosa,SRP184693,paired normal
SRR8550622,RNA-Seq,202,12706649612,PRJNA521512,SAMN10891639,6192783211,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352536,GSM3595925,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595925,gastric mucosa,SRP184693,adenocarcinoma
SRR8550624,RNA-Seq,202,13446510972,PRJNA521512,SAMN10891634,7414181730,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352538,GSM3595927,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:00:00Z,1,GSM3595927,gastric mucosa,SRP184693,adenocarcinoma
SRR8550625,RNA-Seq,202,11766698768,PRJNA521512,SAMN10891633,6612098987,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352539,GSM3595928,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595928,gastric mucosa,SRP184693,paired normal
SRR8550627,RNA-Seq,202,12861840960,PRJNA521512,SAMN10891630,6316298657,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352541,GSM3595930,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595930,gastric mucosa,SRP184693,paired normal
SRR8550628,RNA-Seq,202,12400576788,PRJNA521512,SAMN10891627,6070809927,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352542,GSM3595931,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595931,gastric mucosa,SRP184693,adenocarcinoma
SRR8550629,RNA-Seq,202,13221249662,PRJNA521512,SAMN10891616,6539109931,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352543,GSM3595932,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:58:00Z,1,GSM3595932,gastric mucosa,SRP184693,paired normal
SRR8550636,RNA-Seq,202,12551428166,PRJNA521512,SAMN10891612,6442775637,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352550,GSM3595939,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:01:00Z,1,GSM3595939,gastric mucosa,SRP184693,adenocarcinoma
SRR8550637,RNA-Seq,202,12221573680,PRJNA521512,SAMN10891607,6414301698,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352551,GSM3595940,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:02:00Z,1,GSM3595940,gastric mucosa,SRP184693,paired normal
SRR8550638,RNA-Seq,202,11964286078,PRJNA521512,SAMN10891606,6253412831,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352552,GSM3595941,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:02:00Z,1,GSM3595941,gastric mucosa,SRP184693,adenocarcinoma
SRR8550639,RNA-Seq,202,14273222232,PRJNA521512,SAMN10891604,7003528040,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352553,GSM3595942,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:08:00Z,1,GSM3595942,gastric mucosa,SRP184693,paired normal
SRR8550640,RNA-Seq,202,11586835342,PRJNA521512,SAMN10891780,5979189150,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352554,GSM3595943,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:59:00Z,1,GSM3595943,gastric mucosa,SRP184693,adenocarcinoma
SRR8550641,RNA-Seq,202,13119098060,PRJNA521512,SAMN10891779,6769503224,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352555,GSM3595944,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:07:00Z,1,GSM3595944,gastric mucosa,SRP184693,paired normal
SRR8550643,RNA-Seq,202,13125537214,PRJNA521512,SAMN10891776,6768246893,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352557,GSM3595946,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:11:00Z,1,GSM3595946,gastric mucosa,SRP184693,paired normal
SRR8550644,RNA-Seq,202,12061402628,PRJNA521512,SAMN10891774,6214883081,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352558,GSM3595947,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:03:00Z,1,GSM3595947,gastric mucosa,SRP184693,adenocarcinoma
SRR8550646,RNA-Seq,202,11749007002,PRJNA521512,SAMN10891771,6076267376,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352560,GSM3595949,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:01:00Z,1,GSM3595949,gastric mucosa,SRP184693,adenocarcinoma
SRR8550647,RNA-Seq,202,13125709318,PRJNA521512,SAMN10891770,6735364263,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352561,GSM3595950,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:07:00Z,1,GSM3595950,gastric mucosa,SRP184693,paired normal
SRR8550648,RNA-Seq,202,11994315600,PRJNA521512,SAMN10891768,6206084346,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352562,GSM3595951,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:10:00Z,1,GSM3595951,gastric mucosa,SRP184693,adenocarcinoma
SRR8550649,RNA-Seq,202,11669452736,PRJNA521512,SAMN10891767,7462333515,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352563,GSM3595952,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:01:00Z,1,GSM3595952,gastric mucosa,SRP184693,paired normal
SRR8550650,RNA-Seq,202,11533054256,PRJNA521512,SAMN10891765,7309826216,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352564,GSM3595953,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:32:00Z,1,GSM3595953,gastric mucosa,SRP184693,adenocarcinoma
SRR8550651,RNA-Seq,202,12370758962,PRJNA521512,SAMN10891764,6350685253,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352565,GSM3595954,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595954,gastric mucosa,SRP184693,paired normal
SRR8550652,RNA-Seq,202,13422684264,PRJNA521512,SAMN10891762,6585447309,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352566,GSM3595955,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595955,gastric mucosa,SRP184693,adenocarcinoma
SRR8550654,RNA-Seq,202,13875930854,PRJNA521512,SAMN10891759,6809934859,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352568,GSM3595957,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:58:00Z,1,GSM3595957,gastric mucosa,SRP184693,adenocarcinoma
SRR8550655,RNA-Seq,202,14259757316,PRJNA521512,SAMN10891758,7012074615,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352569,GSM3595958,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:01:00Z,1,GSM3595958,gastric mucosa,SRP184693,paired normal
SRR8550656,RNA-Seq,202,14852647314,PRJNA521512,SAMN10891756,8197709782,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352570,GSM3595959,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:02:00Z,1,GSM3595959,gastric mucosa,SRP184693,adenocarcinoma
SRR8550658,RNA-Seq,202,12502802120,PRJNA521512,SAMN10891753,6125301525,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352572,GSM3595961,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:00:00Z,1,GSM3595961,gastric mucosa,SRP184693,adenocarcinoma
SRR8550659,RNA-Seq,202,12132667420,PRJNA521512,SAMN10891749,6014144183,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352573,GSM3595962,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:59:00Z,1,GSM3595962,gastric mucosa,SRP184693,paired normal
SRR8550660,RNA-Seq,202,12102652846,PRJNA521512,SAMN10891747,5968368217,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352574,GSM3595963,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:59:00Z,1,GSM3595963,gastric mucosa,SRP184693,adenocarcinoma
SRR8550661,RNA-Seq,202,12371734218,PRJNA521512,SAMN10891752,6234064810,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352575,GSM3595964,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:01:00Z,1,GSM3595964,gastric mucosa,SRP184693,paired normal
SRR8550662,RNA-Seq,202,12283873712,PRJNA521512,SAMN10891750,6217575959,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352576,GSM3595965,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:58:00Z,1,GSM3595965,gastric mucosa,SRP184693,adenocarcinoma
